# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e-01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (5.000000e-01 0.000000e+00 5.000000e-02)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.3           	3.501959e-05	1.484608e+00	-1.104355e-04	-2.019817e-05	-9.023734e-05
0.6           	1.942212e-05	1.554769e+00	-4.620568e-05	-3.680715e-06	-4.252496e-05
0.9           	1.341941e-05	1.619335e+00	-1.645029e-05	5.194264e-06	-2.164456e-05
1.2           	2.439476e-05	1.621148e+00	-9.498962e-05	-2.310005e-05	-7.188957e-05
1.5           	8.899358e-06	1.587328e+00	4.929409e-05	3.354640e-05	1.574769e-05
1.8           	2.576299e-05	1.537836e+00	3.345387e-06	2.743568e-05	-2.409030e-05
2.1           	2.118816e-05	1.467820e+00	4.661531e-05	4.449582e-05	2.119494e-06
2.4           	-2.334093e-06	1.403292e+00	4.987788e-05	2.260485e-05	2.727303e-05
2.7           	-6.058631e-06	1.341849e+00	3.803108e-05	1.295691e-05	2.507417e-05
3             	2.193851e-06	1.284382e+00	2.746244e-05	1.592507e-05	1.153737e-05
3.3           	-1.426165e-06	1.224415e+00	8.373392e-06	2.760531e-06	5.612861e-06
3.6           	-2.458655e-05	1.168821e+00	1.673375e-04	5.908222e-05	1.082553e-04
3.9           	-1.312920e-05	1.120242e+00	3.678713e-05	5.264365e-06	3.152276e-05
4.2           	-1.596277e-05	1.070665e+00	1.923763e-05	-6.343958e-06	2.558158e-05
4.5           	-2.370981e-05	1.020181e+00	2.005637e-04	7.657205e-05	1.239917e-04
4.8           	-1.378632e-05	9.703346e-01	6.589853e-07	-1.345683e-05	1.411582e-05
5.1           	6.287764e-07	9.215578e-01	2.518911e-05	1.322333e-05	1.196578e-05
5.4           	-2.183906e-05	8.737605e-01	5.116532e-05	3.743601e-06	4.742172e-05
5.7           	-2.529975e-05	8.271434e-01	5.130127e-05	3.508784e-07	5.095039e-05
6             	-3.413530e-05	7.791805e-01	3.083225e-05	-1.871918e-05	4.955143e-05
6.3           	-4.217909e-05	7.334640e-01	8.366347e-06	-3.799592e-05	4.636226e-05
6.6           	-4.159666e-05	6.901744e-01	-6.551357e-05	-7.435345e-05	8.839877e-06
6.9           	-3.184158e-05	6.543798e-01	-6.640095e-05	-6.504206e-05	-1.358891e-06
7.2           	-1.854906e-05	6.262525e-01	-3.381390e-05	-3.545601e-05	1.642104e-06
7.5           	-6.575993e-06	6.071889e-01	1.351641e-05	1.822116e-07	1.333420e-05
7.8           	-6.354023e-06	5.987929e-01	5.091045e-05	1.910120e-05	3.180925e-05
8.1           	-1.455166e-05	6.064527e-01	1.221096e-04	4.650316e-05	7.560649e-05
8.4           	-1.656822e-05	6.262006e-01	5.021738e-05	8.540471e-06	4.167690e-05
8.7           	-6.979906e-06	6.605390e-01	9.589381e-05	4.096700e-05	5.492681e-05
9             	-1.011235e-05	7.183599e-01	2.275478e-05	1.265045e-06	2.148974e-05
9.3           	6.734904e-06	8.134289e-01	1.659992e-05	1.503486e-05	1.565054e-06
9.6           	4.609047e-05	9.579429e-01	7.083632e-05	8.150863e-05	-1.067231e-05
9.9           	5.688169e-05	1.157627e+00	4.534749e-05	7.955544e-05	-3.420795e-05
10.2          	5.305349e-05	1.399054e+00	3.797883e-05	7.204290e-05	-3.406407e-05
10.5          	-5.765602e-06	1.657373e+00	-1.382123e-04	-7.487176e-05	-6.334056e-05
10.8          	-1.514800e-04	1.809346e+00	-8.904004e-04	-5.966802e-04	-2.937202e-04
11.1          	5.266552e-06	1.903929e+00	-3.169070e-05	-1.057880e-05	-2.111190e-05
11.4          	5.654162e-05	2.013317e+00	3.854923e-06	5.846908e-05	-5.461416e-05
11.7          	-9.945449e-05	2.107813e+00	-2.623532e-04	-2.306311e-04	-3.172212e-05
12            	-2.032015e-05	2.151425e+00	-1.501052e-04	-9.537276e-05	-5.473247e-05
12.3          	-2.659691e-05	2.119533e+00	-9.287335e-05	-7.303359e-05	-1.983976e-05
12.6          	-3.540532e-05	2.042508e+00	1.998505e-05	-2.541279e-05	4.539784e-05
12.9          	-2.081565e-05	1.984546e+00	-1.730049e-04	-1.073181e-04	-6.568678e-05
13.2          	2.666216e-05	1.982507e+00	-3.223894e-05	1.054269e-05	-4.278163e-05
13.5          	9.766147e-05	1.976190e+00	1.453585e-04	1.703407e-04	-2.498223e-05
13.8          	7.180556e-05	1.972791e+00	3.292540e-04	2.364326e-04	9.282142e-05
14.1          	7.214414e-05	1.945262e+00	7.723106e-05	1.107597e-04	-3.352861e-05
14.4          	4.294042e-05	1.881287e+00	9.056917e-05	8.822500e-05	2.344169e-06
14.7          	9.917393e-06	1.828936e+00	-4.962292e-05	-1.489407e-05	-3.472886e-05
15            	2.497604e-05	1.793197e+00	-2.563264e-05	1.215972e-05	-3.779236e-05
15.3          	-2.746126e-06	1.767441e+00	-1.210484e-04	-6.327035e-05	-5.777809e-05
15.6          	-1.509726e-05	1.755011e+00	-1.420440e-04	-8.611926e-05	-5.592474e-05
15.9          	4.786282e-06	1.736593e+00	-9.956463e-05	-4.499604e-05	-5.456860e-05
16.2          	2.580492e-06	1.730752e+00	-7.401982e-05	-3.442942e-05	-3.959040e-05
16.5          	4.307341e-06	1.740557e+00	1.561470e-06	5.088076e-06	-3.526606e-06
16.8          	-1.270060e-05	1.758953e+00	-4.624874e-05	-3.582497e-05	-1.042377e-05
17.1          	-2.115028e-05	1.771718e+00	-1.045934e-04	-7.344697e-05	-3.114640e-05
17.4          	-2.984637e-05	1.773171e+00	-7.713721e-05	-6.841498e-05	-8.722232e-06
17.7          	-3.239216e-05	1.752819e+00	-8.679718e-05	-7.579075e-05	-1.100643e-05
18            	-3.018848e-05	1.717002e+00	-8.671853e-05	-7.354775e-05	-1.317078e-05
18.3          	-2.303104e-05	1.676705e+00	-1.045712e-04	-7.531663e-05	-2.925456e-05
18.6          	-1.418754e-05	1.641959e+00	-8.815155e-05	-5.826331e-05	-2.988824e-05
18.9          	-6.870598e-06	1.614255e+00	-6.331899e-05	-3.853009e-05	-2.478890e-05
19.2          	2.667387e-07	1.592273e+00	-2.950248e-05	-1.448450e-05	-1.501798e-05
19.5          	-1.788412e-05	1.565470e+00	-3.031080e-05	-3.303952e-05	2.728720e-06
19.8          	-2.035275e-05	1.529734e+00	-2.398658e-05	-3.234604e-05	8.359456e-06
20.1          	6.792098e-07	1.486967e+00	1.086911e-05	6.113767e-06	4.755347e-06
20.4          	-2.991115e-06	1.447944e+00	-1.013864e-05	-8.060438e-06	-2.078207e-06
20.7          	1.039287e-06	1.426654e+00	-9.004413e-06	-3.462919e-06	-5.541494e-06
21            	5.247342e-06	1.428208e+00	-7.892323e-06	1.301181e-06	-9.193504e-06
21.3          	1.421107e-05	1.445805e+00	4.816428e-06	1.661928e-05	-1.180286e-05
21.6          	2.754282e-05	1.463645e+00	-4.924048e-05	2.922587e-06	-5.216306e-05
21.9          	3.605139e-05	1.471271e+00	7.868553e-05	7.539416e-05	3.291377e-06
22.2          	4.223340e-05	1.467630e+00	1.128925e-04	9.867964e-05	1.421284e-05
22.5          	5.112964e-05	1.465738e+00	1.257871e-04	1.140232e-04	1.176392e-05
22.8          	5.314690e-05	1.471942e+00	1.609666e-04	1.336302e-04	2.733638e-05
23.1          	9.088758e-05	1.482077e+00	-2.568835e-04	-3.755418e-05	-2.193293e-04
